"id","dataset","matrix_name","dataset_id","model","Plac_present","CTEN.KEY_q1","PORI.KEY_q1","CTENPORI.KEY_q1","CTEN.KEY_q2","PORI.KEY_q2","CTENPORI.KEY_q2","CTEN.KEY_q3","PORI.KEY_q3","CTENPORI.KEY_q3","CTEN.KEY_f1","PORI.KEY_f1","CTENPORI.KEY_f1","CTEN.KEY_pp1","PORI.KEY_pp1","CTENPORI.KEY_pp1","CTEN.KEY_QC","PORI.KEY_QC","CTENPORI.KEY_QC","CTEN.KEY_EN","PORI.KEY_EN","CTENPORI.KEY_EN","CTEN.KEY_branch_length","PORI.KEY_branch_length","CTENPORI.KEY_branch_length","CTEN.CTEN_q1","PORI.CTEN_q1","CTENPORI.CTEN_q1","CTEN.CTEN_f1","PORI.CTEN_f1","CTENPORI.CTEN_f1","CTEN.CTEN_pp1","PORI.CTEN_pp1","CTENPORI.CTEN_pp1","CTEN.CTEN_QC","PORI.CTEN_QC","CTENPORI.CTEN_QC","CTEN.CTEN_EN","PORI.CTEN_EN","CTENPORI.CTEN_EN","CTEN.CTEN_branch_length","PORI.CTEN_branch_length","CTENPORI.CTEN_branch_length","CTEN.CTEN_monophyly","PORI.CTEN_monophyly","CTENPORI.CTEN_monophyly","CTEN.PORI_q1","PORI.PORI_q1","CTENPORI.PORI_q1","CTEN.PORI_f1","PORI.PORI_f1","CTENPORI.PORI_f1","CTEN.PORI_pp1","PORI.PORI_pp1","CTENPORI.PORI_pp1","CTEN.PORI_QC","PORI.PORI_QC","CTENPORI.PORI_QC","CTEN.PORI_EN","PORI.PORI_EN","CTENPORI.PORI_EN","CTEN.PORI_branch_length","PORI.PORI_branch_length","CTENPORI.PORI_branch_length","CTEN.PORI_monophyly","PORI.PORI_monophyly","CTENPORI.PORI_monophyly"
"Borowiec2015.Best108.C60","Borowiec2015","Best108","Borowiec2015.Best108","C60","Plac",0.359966547581107,0.291859725483816,0.348173726935077,0.348173726935077,0.348173726935077,0.359966547581107,0.291859725483816,0.359966547581107,0.291859725483816,33.1169223774619,26.851094744511,32.0319828780271,0.46703660107312,0.16251049818412,0.370452900742771,64,64,64,92,92,92,0.034740430312446,0,0.0167849678459107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single_tip","Single_tip","Single_tip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single_tip","Single_tip","Single_tip"
"Chang2015.Chang_AA.C60","Chang2015","Chang_AA","Chang2015.Chang_AA","C60","Plac",0.375116395417508,0.334195412978041,0.290688191604451,0.290688191604451,0.290688191604451,0.334195412978041,0.334195412978041,0.375116395417508,0.375116395417508,75.0232790835016,66.8390825956082,58.1376383208902,0.724850356811451,0.190573170570754,0.0845764726177867,29250,29250,29250,200,200,200,0.0617426646996381,0,0,"0.9901215297077892","0.9909970755795382","0.991561212940679","186.14284758506437","186.30745020895318","186.41350803284766","1.0","1.0","1.0","2268","4400","3068","188.0","188.0","188.0","3.78645643723093","3.84579328457756","3.88597940217732","Monophyletic","Monophyletic","Monophyletic","0.4094919090192247","0.4081103947183496","0.41746078293931754","81.89838180384494","81.62207894366992","83.4921565878635","0.9626742870180812","0.9589701117466001","0.9786059168906008","29400","20790","12390","200.0","200.0","200.0","0.117862736812478","0.11554553186757","0.131334716150828","Monophyletic","Monophyletic","Monophyletic"
"Dunn2008.Dunn2008_FixedNames.C60","Dunn2008","Dunn2008_FixedNames","Dunn2008.Dunn2008_FixedNames","C60","Plac",0.274978290194971,0.298567957070949,0.42645375273408,0.42645375273408,0.42645375273408,0.298567957070949,0.298567957070949,0.274978290194971,0.274978290194971,7.42441383526423,8.06133484091562,11.5142513238201,0.153039853905385,0.180711039959686,0.666249106134929,660,660,660,27,27,27,0,0,0.124243110973762,"0.9962264150943396","0.9962264150943396","1.0","52.8","52.8","15.0","1.0","1.0","0.999999907077714","336","385","61","53.0","53.0","15.0","3.40119738166215","3.40119738166215","2.36712361413162","Monophyletic","Monophyletic","Monophyletic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single_tip","Single_tip","Single_tip"
"Laumer2018.Tplx_BUSCOeuk.C60","Laumer2018","Tplx_BUSCOeuk","Laumer2018.Tplx_BUSCOeuk","C60","Plac",0.408918851101609,0.302050295987037,0.289030852911355,0.302050295987037,0.289030852911355,0.302050295987037,0.289030852911355,0.408918851101609,0.408918851101609,123.084574181584,90.9171390920981,86.9982867263178,0.990006224628356,0.00554506055553579,0.00444871481611016,19530,19530,19530,301,301,301,0.118048696541851,0,0,"0.37342465516203643","0.9017970657020807","0.5361867135074813","111.6539718934489","145.189327578035","126.00387767425809","0.805859569112571","1.0","0.9999999996860562","21762","3410","110","299.0","161.0","235.0","1.81144580134725","1.86011727919706","1.87410869146613","Monophyletic","Monophyletic","Monophyletic","0.5361867135074813","0.30205029598703687","0.6104748950586703","126.00387767425809","90.9171390920981","90.3502844686832","0.9999999996860562","0.005545060555535794","0.9999999999891074","110","19530","318","235.0","301.0","148.0","0.0600365204658868","0.0742625350546548","0.0800800375725146","Monophyletic","Monophyletic","Monophyletic"
"Moroz2014.ED3d.C60","Moroz2014","ED3d","Moroz2014.ED3d","C60","Plac",0.44237821997865,0.364274409234954,0.193347370786395,0.364274409234954,0.44237821997865,0.364274409234954,0.193347370786395,0.193347370786395,0.44237821997865,18.1375070191247,14.9352507786331,7.9272422022422,0.747822978768733,0.203360460448437,0.04881656078283,6831,6831,6831,41,41,41,0.159896615272136,0.0339723957601798,0,"0.7049050789278619","NaN","NaN","41.58939965674385","0.0","0.0","0.9999999887735813","0.33333333333333337","0.33333333333333337","312","240","240","59.0","0.0","0.0","2.97915314475108","3.00020655394891","2.85263142991332","Monophyletic","Monophyletic","Monophyletic","0.0","0.5571164021164021","0.5571164021164021","0.0","11.699444444444444","11.699444444444444","0.16666666666666663","0.9411753735661392","0.9411753735661392","160","240","240","1.0","21.0","21.0","0.0960578736080395","0.0906821438437237","0.126809582526653","Monophyletic","Monophyletic","Monophyletic"
"Nosenko2013.nonribosomal_9187_smatrix.C60","Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","Plac",0.458545409753512,0.273457973331816,0.267996616914671,0.267996616914671,0.267996616914671,0.458545409753512,0.273457973331816,0.458545409753512,0.273457973331816,16.0490893413729,9.57102906661357,9.3798815920135,0.837829215211014,0.0826833061027975,0.0794874786861881,30240,30240,30240,35,35,35,0.184779041004893,0,0,"0.18033434342345353","0.02","0.18033434342345353","2.1640121210814423","0.04","2.1640121210814423","0.057569470999083786","0.14759825684774452","0.057569470999083786","68","68","68","12.0","2.0","12.0","1.14529203579091","1.17347933093557","1.18966195854177","Monophyletic","Monophyletic","Monophyletic","0.9979166666666667","0.25","0.02","14.96875","2.0","0.04","0.9999998944748032","0.1759164003869187","0.14759825684774452","68","68","68","15.0","8.0","2.0","0.079100172592407","0.0947467978445871","0.111513048462839","Monophyletic","Monophyletic","Monophyletic"
"Nosenko2013.ribosomal_14615_smatrix.C60","Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","Plac",0.396507596751244,0.337338491284996,0.266153911963759,0.266153911963759,0.266153911963759,0.396507596751244,0.337338491284996,0.396507596751244,0.337338491284996,34.099653320607,29.0111102505097,22.8892364288833,0.715255523077837,0.201037647006683,0.0837068299154798,31280,31280,31280,86,86,86,0.0920331182179497,0.000191574392472752,0,"0.3612650833594753","0.9794665820501687","0.3612650833594753","31.430062252274354","46.03492935635793","31.430062252274354","0.4855808814354306","1.0","0.4855808814354306","756","260","756","87.0","47.0","87.0","3.23837047231986","3.14098213062184","3.09355688714365","Monophyletic","Monophyletic","Monophyletic","0.5","0.9854550848117024","0.9794665820501687","2.0","67.01094576719576","46.03492935635793","0.5316648631499248","1.0","1.0","390","3366","260","4.0","68.0","47.0","0.0417961240049886","0.0530489838200914","0.0849827342174197","Monophyletic","Monophyletic","Monophyletic"
"Philippe2009.Philippe_etal_superalignment_FixedNames.C60","Philippe2009","Philippe_etal_superalignment_FixedNames","Philippe2009.Philippe_etal_superalignment_FixedNames","C60","Plac",0.390159525323698,0.330763532410416,0.279076942265887,0.279076942265887,0.279076942265887,0.390159525323698,0.330763532410416,0.390159525323698,0.330763532410416,49.5502597161096,42.0069686161228,35.4427716677676,0.762795959037922,0.161209651382278,0.0759943895797956,9504,9504,9504,127,127,127,0.0841069872320231,0,0,"0.38379206243697644","0.709004600489721","0.38379206243697644","49.125383991932985","90.75258886268429","49.125383991932985","0.7215176607874005","1.0","0.7215176607874005","6930","294","6930","128.0","128.0","128.0","3.04345255852264","3.06526581007446","3.03400786436636","Monophyletic","Monophyletic","Monophyletic","0.709004600489721","0.5758136397710429","0.709004600489721","90.75258886268429","73.7041458906935","90.75258886268429","1.0","0.999999964440991","1.0","294","3444","294","128.0","128.0","128.0","0.0981667033352396","0.0981589852422877","0.147346147414569","Monophyletic","Monophyletic","Monophyletic"
"Philippe2011.UPDUNN_MB_FixedNames.C60","Philippe2011","UPDUNN_MB_FixedNames","Philippe2011.UPDUNN_MB_FixedNames","C60","Plac",0.377227012190839,0.310009903755188,0.312763084053973,0.312763084053973,0.312763084053973,0.377227012190839,0.310009903755188,0.377227012190839,0.310009903755188,44.1355604263281,36.271158739357,36.5932808343149,0.66568539822651,0.163757364884617,0.170557236888865,1608,1608,1608,117,117,117,0.0629880007829291,0,0,"0.9994190456985376","0.9994148740987574","0.9994557099820258","56.96688560481664","57.96606269772793","56.96897546897547","1.0","1.0","1.0","414","536","146","57.0","58.0","57.0","3.62239997769308","3.63869819765027","3.62442490425824","Monophyletic","Monophyletic","Monophyletic","0.4388532174640058","0.44845993076751867","0.32520744034358495","23.698073743056312","24.21683626144601","13.008297613743398","0.8394775416212401","0.8598523050924753","0.28594635370025545","536","414","146","54.0","54.0","40.0","0.158188439716426","0.174900168467574","0","Monophyletic","Monophyletic","Monophyletic"
"Ryan2013.REA_EST_includingXenoturbella.C60","Ryan2013","REA_EST_includingXenoturbella","Ryan2013.REA_EST_includingXenoturbella","C60","Plac",0.339787414568649,0.341554642903359,0.318657942527992,0.341554642903359,0.339787414568649,0.339787414568649,0.318657942527992,0.318657942527992,0.341554642903359,119.265382513596,119.885679659079,111.848937827325,0.384715659896028,0.41019217400611,0.205092166097826,4050,4050,4050,351,351,351,0.00826724380079316,0.0109360570998318,0,"0.5715086119646035","0.5715086119646035","0.5124476139210795","13.144698075185879","13.144698075185879","35.871332974475564","0.9665114531224325","0.9665114531224325","0.9966365027642636","168","168","224","23.0","23.0","70.0","3.77403726245424","3.96790346382261","4.18694103615483","Monophyletic","Monophyletic","Monophyletic","0.4007598483814877","1.0","0.4007598483814877","8.415956816011242","6.0","8.415956816011242","0.493903189002562","0.9981735159817352","0.493903189002562","1224","114","1224","21.0","6.0","21.0","0","0","0.0175927444358836","Monophyletic","Monophyletic","Monophyletic"
